Car_ID,Brand,Manufacture_Year,Body_Type,Fuel_Type,Transmission,Engine_CC,Horsepower,Mileage_km_per_l,Price_USD,Manufacturing_Country,Car_Age,Price_Category,HP_per_CC,Age_Category,Efficiency_Score
CAR_0001,Mercedes,2006,SUV,Petrol,Manual,4089,547,17,78190.32427427934,USA,20,Premium,0.1338,Old,0.35
CAR_0002,Nissan,2023,Coupe,Petrol,Automatic,4618,167,25,77031.80820767886,USA,3,Premium,0.0362,New,0.75
CAR_0003,Nissan,2007,Hatchback,Diesel,Manual,1802,110,16,16304.096203359033,China,19,Premium,0.061,Old,0.3
CAR_0004,Nissan,2013,Coupe,Petrol,Manual,1835,373,16,60242.54582965371,USA,13,Mid-Range,0.2033,Old,0.3
CAR_0005,Hyundai,2009,Hatchback,Hybrid,Automatic,2332,145,28,27184.621979745785,UK,17,Premium,0.0622,Old,0.9
CAR_0006,Tesla,2012,Coupe,Diesel,Automatic,2124,321,19,55115.19587825243,UK,14,Premium,0.1511,Old,0.45
CAR_0007,Audi,2011,Hatchback,Petrol,Automatic,4527,342,29,65422.47105466734,Japan,15,Premium,0.0755,Old,0.95
CAR_0008,Tesla,2016,SUV,Diesel,Automatic,1729,309,20,63525.726554801666,China,10,Mid-Range,0.1787,Moderate,0.5
CAR_0009,Audi,2017,Hatchback,Hybrid,Manual,1561,470,12,81380.00176338211,Germany,9,Premium,0.3011,Moderate,0.1
CAR_0010,Honda,2020,Sedan,Electric,Manual,4254,116,17,60977.99800370325,South Korea,6,Budget,0.0273,Recent,0.35
CAR_0011,Ford,2025,Coupe,Petrol,Automatic,3426,339,17,92529.0702373598,Japan,1,Budget,0.0989,New,0.35
CAR_0012,Tesla,2009,Coupe,Diesel,Manual,1215,421,14,54142.01392390037,Germany,17,Mid-Range,0.3465,Old,0.2
CAR_0013,Tesla,2013,Pickup,Electric,Manual,4774,512,15,91927.50670192811,China,13,Mid-Range,0.1072,Old,0.25
CAR_0014,Audi,2019,Sedan,Petrol,Manual,3057,215,15,63863.19320146615,Japan,7,Budget,0.0703,Recent,0.25
CAR_0015,Audi,2013,Pickup,Electric,Manual,2637,308,27,54425.39269300423,Germany,13,Luxury,0.1168,Old,0.85
CAR_0016,Toyota,2020,SUV,Hybrid,Automatic,3384,126,30,56209.5188217046,China,6,Luxury,0.0372,Recent,1.0
CAR_0017,BMW,2025,SUV,Petrol,Manual,1001,265,20,70943.04307509333,China,1,Premium,0.2647,New,0.5
CAR_0018,Tesla,2014,Coupe,Diesel,Automatic,3900,389,27,72654.80328149795,Germany,12,Mid-Range,0.0997,Moderate,0.85
CAR_0019,Nissan,2020,Sedan,Hybrid,Automatic,1603,165,17,50909.66609680236,Japan,6,Mid-Range,0.1029,Recent,0.35
CAR_0020,Tesla,2013,Coupe,Hybrid,Automatic,4568,573,14,101896.90073166993,Japan,13,Luxury,0.1254,Old,0.2
CAR_0021,Audi,2010,SUV,Petrol,Automatic,4652,296,28,56927.45124900148,China,16,Mid-Range,0.0636,Old,0.9
CAR_0022,Toyota,2005,Sedan,Electric,Automatic,3287,349,18,40371.20993493738,USA,21,Luxury,0.1062,Old,0.4
CAR_0023,Kia,2013,Sedan,Hybrid,Manual,2294,507,14,76723.44050078813,USA,13,Luxury,0.221,Old,0.2
CAR_0024,Tesla,2019,Coupe,Hybrid,Manual,1683,123,30,44530.45890309549,South Korea,7,Luxury,0.0731,Recent,1.0
CAR_0025,BMW,2022,Coupe,Hybrid,Automatic,1235,115,29,47169.45961917349,China,4,Mid-Range,0.0931,Recent,0.95
CAR_0026,Mercedes,2020,Coupe,Hybrid,Automatic,1361,335,30,73082.08006953693,UK,6,Luxury,0.2461,Recent,1.0
CAR_0027,Nissan,2019,Coupe,Electric,Automatic,4439,273,15,76941.60107248511,Japan,7,Mid-Range,0.0615,Recent,0.25
CAR_0028,BMW,2020,SUV,Hybrid,Automatic,3523,330,29,82022.0151678049,South Korea,6,Luxury,0.0937,Recent,0.95
CAR_0029,Mercedes,2021,Sedan,Diesel,Manual,2041,484,16,92315.8185453447,Germany,5,Luxury,0.2371,Recent,0.3
CAR_0030,BMW,2017,SUV,Electric,Manual,4776,350,26,80942.5986766665,USA,9,Mid-Range,0.0733,Moderate,0.8
CAR_0031,Honda,2014,Coupe,Electric,Manual,3935,437,29,81880.29411116864,Japan,12,Mid-Range,0.1111,Moderate,0.95
CAR_0032,Ford,2021,Sedan,Diesel,Automatic,3117,454,28,93606.48280223265,USA,5,Budget,0.1457,Recent,0.9
CAR_0033,Ford,2020,Hatchback,Electric,Automatic,4147,189,27,68572.7956011348,Japan,6,Luxury,0.0456,Recent,0.85
CAR_0034,Audi,2006,Hatchback,Diesel,Automatic,1175,368,17,39427.845588619995,China,20,Mid-Range,0.3132,Old,0.35
CAR_0035,Kia,2012,Sedan,Diesel,Manual,2609,146,25,35020.44229356812,Germany,14,Budget,0.056,Old,0.75
CAR_0036,Tesla,2005,SUV,Hybrid,Manual,1169,453,21,49772.143470255854,Germany,21,Budget,0.3875,Old,0.55
CAR_0037,Toyota,2007,Hatchback,Hybrid,Manual,2244,590,26,73656.4988241696,UK,19,Luxury,0.2629,Old,0.8
CAR_0038,Honda,2012,Pickup,Petrol,Automatic,3805,165,29,39688.05502555365,South Korea,14,Mid-Range,0.0434,Old,0.95
CAR_0039,Honda,2021,Pickup,Diesel,Manual,2051,250,24,67490.61276537577,Japan,5,Luxury,0.1219,Recent,0.7
CAR_0040,Nissan,2024,Pickup,Diesel,Manual,4435,454,20,107679.03191282682,Germany,2,Luxury,0.1024,New,0.5
CAR_0041,Audi,2008,SUV,Diesel,Automatic,4765,575,16,86248.77443240276,USA,18,Budget,0.1207,Old,0.3
CAR_0042,Tesla,2021,SUV,Electric,Manual,4144,410,10,96956.65246220966,USA,5,Mid-Range,0.0989,Recent,0.0
CAR_0043,Ford,2005,Hatchback,Electric,Automatic,2457,513,13,61679.76278075685,China,21,Luxury,0.2088,Old,0.15
CAR_0044,Kia,2013,Hatchback,Electric,Manual,2183,500,11,76564.80036968808,Japan,13,Mid-Range,0.229,Old,0.05
CAR_0045,Ford,2020,Hatchback,Hybrid,Automatic,1247,572,30,100021.64054971511,USA,6,Mid-Range,0.4587,Recent,1.0
CAR_0046,Toyota,2012,SUV,Diesel,Manual,1500,423,22,63439.77835507169,Japan,14,Budget,0.282,Old,0.6
CAR_0047,Ford,2025,Pickup,Petrol,Automatic,2721,426,13,100759.62251591863,Japan,1,Premium,0.1566,New,0.15
CAR_0048,BMW,2005,Coupe,Petrol,Manual,3047,271,14,35372.28664160579,Japan,21,Mid-Range,0.0889,Old,0.2
CAR_0049,Tesla,2018,Pickup,Hybrid,Manual,3219,597,14,107137.13821323052,UK,8,Premium,0.1855,Moderate,0.2
CAR_0050,Hyundai,2021,SUV,Petrol,Automatic,4619,93,26,60313.30605028765,Japan,5,Budget,0.0201,Recent,0.8
CAR_0051,Ford,2012,Pickup,Diesel,Manual,2729,372,22,62446.22451778323,China,14,Mid-Range,0.1363,Old,0.6
CAR_0052,Mercedes,2006,SUV,Diesel,Automatic,2720,488,13,61161.799307594425,Japan,20,Mid-Range,0.1794,Old,0.15
CAR_0053,Ford,2020,Pickup,Diesel,Automatic,4750,401,30,98087.51973696305,China,6,Mid-Range,0.0844,Recent,1.0
CAR_0054,Nissan,2018,Sedan,Petrol,Manual,4467,219,15,68922.33627810402,China,8,Premium,0.049,Moderate,0.25
CAR_0055,Nissan,2010,SUV,Hybrid,Manual,1356,336,17,47383.40074734741,China,16,Mid-Range,0.2478,Old,0.35
